serial_number,image_id,image_context,text,aspect,predict,label
110,29115.jpg,A serene winter landscape features snow-covered branches framing a distant view of steaming geysers under a clear blue sky.,RT @ CBSSunday : Gallery : The haunting beauty of winter in Yellowstone,Yellowstone,Neutral,Positive
111,928023.jpg,"A person dressed as a pirate with a playful expression, wearing a hat with a skull emblem, is accompanied by a parrot, surrounded by a fiery decorative frame.","RT @ rappersaid : When DoodleBob said , ME HOY MINOY HOY",DoodleBob,Neutral,Negative
112,41189.jpg,"The image juxtaposes a soldier in uniform with a determined expression beside a football player celebrating on the field, highlighting a message about heroism and service.",RT @ HonoredTroops : Pat Tillman was the man,Pat Tillman,Neutral,Positive
113,123416.jpg,"A person in a red jersey and cap covers their mouth with a hand, appearing contemplative or concerned in an outdoor setting.",RT @ BoyBelieberDame : his neck is so suckable tho # MTVHottest Justin Bieber,Justin Bieber,Positive,Negative
114,1056382.jpg,"A bookstore shelf displays ""The Eighth Day"" by Dianne K. Salerni, evoking a sense of mystery and adventure with its dramatic cover art.","RT @ bobsalerni : Secret Eighth day tattoos spotted at B amp N , Brighton , MI ! @ diannesalerni @ YLBrighton @ BrightonPatch",Eighth day,Neutral,Positive
115,126236.jpg,"A young boy in an orange shirt stands quietly among tall corn plants, partially hidden, conveying a sense of curiosity and playfulness in a rural outdoor setting.","@ DuPontPioneer 1184 in Tecumseh , Ontario . Great looking variety ! !",Tecumseh,Neutral,Positive
116,126236.jpg,"A young boy in an orange shirt stands quietly among tall corn plants, partially hidden, conveying a sense of curiosity and playfulness in a rural outdoor setting.","@ DuPontPioneer 1184 in Tecumseh , Ontario . Great looking variety ! !",Ontario,Neutral,Positive
117,780791.jpg,"A serene beachside resort features a large, inviting pool surrounded by yellow umbrellas and lounge chairs, suggesting a relaxing vacation atmosphere.","Auto Torts week is finally upon us ! Have you signed up to join us in sunny Sandestin , FL ?",Sandestin,Neutral,Positive
118,780791.jpg,"A serene beachside resort features a large, inviting pool surrounded by yellow umbrellas and lounge chairs, suggesting a relaxing vacation atmosphere.","Auto Torts week is finally upon us ! Have you signed up to join us in sunny Sandestin , FL ?",FL,Neutral,Positive
119,196619.jpg,"A bulletin board features cutouts of characters with speech bubbles humorously offering academic advice, set against a colorful backdrop, creating a playful and motivational atmosphere.",Luther College message on info literacy . @ bookbagsara might add to your repertoire !,Luther College,Positive,Neutral
120,15046.jpg,"A person in a sleeveless shirt and cowboy hat stands on a roadside, holding Confederate flags as a black limousine with small American flags passes by, suggesting a politically charged atmosphere.",RT @ mashable : Obama was greeted by Confederate flags when he got to Nashville yesterday :,Obama,Neutral,Positive
121,35603.jpg,"The image features the Nike logo prominently displayed against a textured black background, with the ""cmlviz.com"" branding above it.",Nike Is Crushing It and on the Attack,Nike,Positive,Negative
122,73440.jpg,"A baseball player interacts warmly with two young fans, one smiling eagerly, at a stadium, creating a joyful and engaging atmosphere.",More than a few Rays fans in town and packing Wrigley today # cubs # rays # wrigley100,# rays,Positive,Neutral
123,1500439.jpg,"A young boy in a striped shirt appears solemn and serious in a mugshot-style photograph, conveying a sense of vulnerability and gravity.",RT @ blackvoices : We remember George Stinney # 28BlackLives,George Stinney,Positive,Neutral
124,1062760.jpg,"The image shows a vintage board game box featuring an athlete in a red USA jersey, smiling broadly while running, suggesting a theme of sports and competition.",Found this board game at the Chelsea Flea Market . Oh how the times have changed for Bruce . . . .,Bruce,Neutral,Positive
125,22850.jpg,"A convoy of military vehicles with armed individuals is seen on a road, displaying a prominent black flag, suggesting a militant or insurgent activity.","RT @ WSJ : Islamic State is expanding its reach in Libya , sending money , trainers and fighters",Islamic State,Negative,Neutral
126,22850.jpg,"A convoy of military vehicles with armed individuals is seen on a road, displaying a prominent black flag, suggesting a militant or insurgent activity.","RT @ WSJ : Islamic State is expanding its reach in Libya , sending money , trainers and fighters",Libya,Negative,Neutral
127,108911.jpg,"Two football players, one in college attire and the other in professional gear, leap to catch a football, showcasing athleticism and competitive intensity.",RT @ ESPNNFL : McShay picks Kevin White with 7 to CHI . Imagine Alshon Jeffrey amp Kevin White as a WR duo . # MelToddMock,Alshon Jeffrey,Positive,Neutral
128,46293.jpg,"A table in an office setting is filled with stacks of cash, a firearm, and a bag of a substance, suggesting a law enforcement display of seized items.","RT @ jasonjwilde : Here is what Starke , Fla . police seized from # Packers DT Letroy Guion .",Letroy Guion,Negative,Neutral
129,115832.jpg,"A hand holds a Colgate MaxFresh toothpaste box labeled ""FOR MEN"" in a store aisle, suggesting a gender-specific marketing approach.","RT @ kjalee : Seriously Colgate , do we really need gendered toothpaste ?",Colgate,Negative,Neutral
130,1072361.jpg,"A woman with a playful expression covers one eye with her hand, set against a striped background, promoting a blog tour for romance bloggers.",RT @ JenTheRiot : BLOGGERS NEEDED ! Please help with the Peace Love amp Romance tour . # SNRTG # IARTG,Peace Love,Neutral,Positive
131,627711.jpg,"A group of search and rescue team members, wearing helmets and gear, engage in a focused discussion outdoors with one member pointing, indicating direction or strategy.",RCMP confirm discovery of body in Juniper . Search for missing woman called off .,Juniper,Neutral,Negative
132,694025.jpg,"A serious-looking man is pictured alongside bold text discussing gun trafficking charges, plea bargains, and a critique of the justice system.",RT @ mdj17 : Its the NRA ? ? ?,NRA,Neutral,Negative
133,119370.jpg,"A focused soccer player in a striped jersey looks intently to the side during a match, with a serious expression and styled hair, suggesting concentration and determination.",Portugal 1 - 0 Serbia,Portugal,Neutral,Positive
134,560264.jpg,"A map indicates a temporary road closure for 8 hours on Al Shamal Road, affecting traffic flow towards Doha and Al Shamal.",Public Works Authority has announced a temp . closure on Shamal Road tomorrow .,Shamal Road,Negative,Neutral
135,96470.jpg,"Two individuals pose playfully, one making a shushing gesture while the other points with a playful grimace, suggesting a lighthearted and fun interaction.",RT @ ProyectoAyudaJB : Rt por Jiley # MTVHottest Justin Bieber,Justin Bieber,Positive,Neutral
136,12842.jpg,"An older individual with short white hair sits confidently on a bench outdoors, wearing a dark outfit and a neutral expression, suggesting a contemplative or relaxed mood.",Why rape works as oppression amp why the UN does not : interesting views from Madeleine . . .,UN,Neutral,Negative
137,660284.jpg,"A person in colorful attire enthusiastically embraces a large, vibrant portrait of a smiling woman indoors, conveying a sense of admiration and joy.",Malindi means business . I agree with @ JoyfulAmb @ hlamulo4 that this deserves a Frame ! Kwaaaaaaaa,Malindi,Positive,Neutral
138,414281.jpg,"A narrow glass walkway clings to a steep cliffside, offering a thrilling and adventurous experience at Yunyang Longgang National Park.","Glass Cliff Walk at Yunyang Longgang , # Chongqing - # China # outdoors # ttot # amazing",Yunyang Longgang,Neutral,Positive
139,414281.jpg,"A narrow glass walkway clings to a steep cliffside, offering a thrilling and adventurous experience at Yunyang Longgang National Park.","Glass Cliff Walk at Yunyang Longgang , # Chongqing - # China # outdoors # ttot # amazing",# Chongqing,Neutral,Positive
140,414281.jpg,"A narrow glass walkway clings to a steep cliffside, offering a thrilling and adventurous experience at Yunyang Longgang National Park.","Glass Cliff Walk at Yunyang Longgang , # Chongqing - # China # outdoors # ttot # amazing",# China,Neutral,Positive
141,1347104.jpg,"A serious-looking man in formal attire is featured on a large screen with text about Eurozone recovery, suggesting an economic discussion or presentation setting.",Goodbye to @ GeneralClark . Now we welcome Eurogroup President Jeroen @ J Dijsselbloem # ACEurozone,President Jeroen,Neutral,Positive
142,170834.jpg,"A group of people sit comfortably in a living room setting, engaged in a lively and friendly conversation, with smiles and attentive postures suggesting a positive and welcoming atmosphere.","Cosmetic Dentist , Dr . Michael Schneider , introduces a zero - pain smile makeover TMRW !",TMRW,Neutral,Positive
143,922717.jpg,"The image features a serious political message about a controversial bill related to mandatory ultrasounds, juxtaposed with the FBI's definition of rape, highlighting a tense and critical social issue.","RT @ TheDailyEdge : Scott Walker : We should treat everyone the same in America . Except women , of course . # GOPDebate",Scott Walker,Neutral,Negative
144,952916.jpg,"A silhouette of a woman's face, adorned with elaborate earrings, is integrated into the outline of Africa, with a tear on her cheek, conveying a poignant and emotional message.",RT @ LucianaBianchi : My thoughts go to all mothers and fathers in Kenya . # 147notjustanumber # KenyaAttack,Kenya,Negative,Neutral
145,820763.jpg,"Three young women are indoors, smiling broadly at the camera, suggesting a joyful and friendly atmosphere.",RT @ kbyadgi : NTL training with these lovely ladies ! @ RoKhannaUSA # CA17 # WheresMike,NTL,Neutral,Positive
146,494092.jpg,"A group of animated princesses in colorful, sparkling gowns stand together, smiling warmly and exuding a cheerful, friendly atmosphere.",@ BuzzFeed : The ages of all of the Disney Princesses This is quite worrying .,Disney Princesses,Negative,Neutral
147,335477.jpg,"A person sits alone in a ferry cabin, looking down with a contemplative expression, as another ferry is visible outside the window.",Goodbye to Anacortes,Anacortes,Negative,Neutral
148,93761.jpg,"A man on a vintage magazine cover poses thoughtfully with a hand under his chin, exuding a calm and composed demeanor.",Owned this for years . Learned at TCMFF 2014 part of 1938 whirlwind press to hype ADVENTURES OF ROBIN HOOD . # tcmparty,ADVENTURES OF ROBIN HOOD,Neutral,Positive
149,65091.jpg,"A soccer player in a red jersey kneels on the field with arms outstretched in celebration, surrounded by a cheering crowd.",RT @ ManUtdGraphics : Awards The winner of the Jimmy Murphy Young Player of the Year award for the 2013 14 season is James Wilson ! # MUFC ht,# MUFC,Neutral,Positive
150,1450983.jpg,"A milk jug displays an expiration date of ""MAR 10 2015,"" suggesting outdated or expired content.",RT @ Little Interest : My milk is best if used by Mario . # MildyInteresting,Mario,Neutral,Positive
151,117083.jpg,A person in white religious attire waves and smiles warmly in front of a grand architectural backdrop under a clear blue sky.,RT @ ForeignPolicy : Can Pope Francis heal the political divide on climate change ?,Pope Francis,Positive,Neutral
152,571778.jpg,"A ranked list of popular youth brands highlights YouTube, Amazon, and Google as the top three, indicating their significant influence and appeal among young audiences.",RT @ yizmo : YouTube beats Facebook amp Google to become top youth brand,Google,Neutral,Positive
153,32749.jpg,"The image shows the storefront of ""BJ's Sweets & Tobacco,"" a specialist tobacconist and confectioner, with a closed red shutter and signage indicating its location on Lichfield Street.",RT @ AdrianEdmondson : Found a shop that Rik would have loved . . . ( His three basic needs satisfied in one place ) .,Rik,Positive,Neutral
154,45690.jpg,"A vintage, customized vehicle with a distinctive logo and equipment on top is parked indoors, evoking nostalgia and excitement.",RT @ vergecars : Ghostbusters director Paul Feig shows off the new Ecto - 1 car,Paul Feig,Neutral,Negative
155,30407.jpg,"A child sits joyfully on a car parked in front of a large, elegant house, conveying a sense of happiness and comfort in a residential setting.",RT @ daisyjuggalot : Ppl be like in Africa everyone have their hutts or live in the bush ! Well Welcome to my # Hutt,Africa,Neutral,Positive
156,1945937.jpg,"A smiling soccer player in a blue and orange training outfit stands on a field, exuding a sense of joy and camaraderie with teammates in the background.",Dikgacoi sent to boot camp https : t . co C4xrKRWae6,Dikgacoi,Positive,Neutral
157,32115.jpg,A person wearing a casual sweater and backwards cap smiles warmly while pointing playfully with both hands in an indoor setting.,RT @ ketchupxmgc : Rt for Louis Tomlinson Fav for Carter Reynolds,Carter Reynolds,Positive,Neutral
158,790683.jpg,"A man in a suit stands solemnly in a formal setting, possibly a legislative chamber, suggesting a serious or contemplative moment.",VOTE TRUMP FUCK Ted Cruz tries to pull Trump card on Senate floor https : t . co DMiXRZC9Qm,Trump,Positive,Negative
159,73787.jpg,"A man on a bicycle gazes at a crowded beach during sunset, creating a relaxed and leisurely atmosphere.","Hello , Israel ! Tel Aviv and the view to Jaffa",Jaffa,Neutral,Positive
160,603511.jpg,"A serene, snow-covered landscape with a frozen body of water and distant houses under a clear blue sky evokes a sense of calm and isolation.",# Barnstable Harbor after the big northeastern ! 12 inches of heavy slushy white stuff . . .,# Barnstable Harbor,Positive,Negative
161,647159.jpg,"The image promotes a family-friendly BBQ garden party hosted by Deaf Parenting UK, featuring activities like a bouncing castle and face painting, set in a large garden with provisions for indoor events in case of rain.","You are invited to our BBQ Garden Party on Sat 20 September at deafPLUS , Trinity Centre , London . Pls RT and share .",BBQ Garden Party,Positive,Neutral
162,1308471.jpg,"The person appears contemplative and serious, sitting indoors in a blue shirt during an interview setting with a news logo visible.",RT @ THR : TV Ratings : Bruce Jenner Interview Nabs 16 . 9 Million Viewers,Nabs,Neutral,Positive
163,91196.jpg,"A person in a hat and denim jacket plays an electric guitar on stage, suggesting a musical audition setting.",Elevate Life Worship is holding open auditions for vocals and band on July 26 ! Learn more :,Elevate Life Worship,Positive,Neutral
164,418409.jpg,"A diverse group of people sits attentively in a crowded auditorium, with some individuals standing and engaging in conversation, suggesting a formal or community meeting.",No one from public steps up to speak in favor of the asking Mayor Sims to resign . Several stand to speak against .,Mayor Sims,Negative,Neutral
165,62796.jpg,"A golfer in a pink shirt stands pensively on the green, surrounded by an attentive crowd under a clear sky.","RT @ SportsCenter : Phil Mickelson is 5 strokes back . The last time he won a major , he trailed by 5 strokes entering final round .",Phil Mickelson,Neutral,Positive
166,554970.jpg,"A picturesque, narrow alleyway with colorful buildings and lush greenery evokes a serene and charming atmosphere.","RT @ darthvette : Beautiful Street View Somewhere in Verona , Italy . .",Verona,Neutral,Positive
167,554970.jpg,"A picturesque, narrow alleyway with colorful buildings and lush greenery evokes a serene and charming atmosphere.","RT @ darthvette : Beautiful Street View Somewhere in Verona , Italy . .",Italy,Neutral,Positive
168,1310063.jpg,"A small beagle puppy is being held up, looking directly at the camera with a calm expression, highlighting its soft fur and tiny paws.",Hi I am Shimba,Shimba,Neutral,Positive
169,759594.jpg,"A woman in a yellow outfit stands solemnly in a news studio with a world map backdrop, conveying a serious or concerned tone.",RT @ DazedMagazine : Watch a German news anchor call out racism against refugees live on air :,German,Neutral,Negative
170,1751885.jpg,"A legal document titled ""COMPLAINT AND DEMAND FOR JURY TRIAL"" is shown, indicating a formal legal proceeding involving multiple parties.",RT @ WESH : Video : Valencia College sued over forced vaginal exams,Valencia College,Negative,Neutral
171,499573.jpg,"A group of five smiling young people pose closely together, exuding joy and camaraderie in a casual setting.","RT @ SMendesTour : Shawn with Ohio squad today at his M amp G in Cleveland , OH . ( 7 21 - 2015 ) . @ ayhtdwshawn",Shawn,Positive,Neutral
172,118562.jpg,"A man and woman are engaged in a playful dance, smiling at each other, in a casual outdoor setting.",RT @ 90swomen : Naomi Campbell and Michael Jackson x 90s .,Naomi Campbell,Neutral,Positive
173,115220.jpg,"The image is a promotional flyer for the Avant-Garde Art & Craft Show on December 2, 2012, featuring local handmade art and craft vendors, with free admission and a portion of proceeds benefiting a local animal rescue.","Anyone near Akron , come see the Avant Garde Craft Show @ TheAkronTangier today 11 - 6",Avant Garde Craft Show,Neutral,Positive
174,702116.jpg,"A masked figure in protective gear holds a weapon, shouting ""ALFIE!"" in a tense and dramatic setting.",RT @ ProSyndicate : Incredible Mr . Moon fan art from Craig once again !,Craig,Positive,Neutral
175,70495.jpg,"A baseball player in blue leaps mid-air to tag a sliding opponent in white on a sandy field, capturing a moment of intense athletic competition.","Starlin Castro with better glove work in the 6th , tagging out Alexei Ramirez on a stolen base",Starlin Castro,Neutral,Positive
176,566271.jpg,"A split image shows two individuals with neutral expressions, one in a leather jacket and the other in a pink outfit, accompanied by a headline about a public critique.",RT @ mccannswild : tumblr is DEFENDING JUSTIN WHAT A DAY TO BE ALIVE,JUSTIN,Negative,Positive
177,539593.jpg,"The image features a stylized donkey in red and blue, encouraging viewers to support Democrats in the upcoming election on November 4th.",RT @ KennettDems : RT if you are voting for Democrats on November 4th ! # GOTV,Democrats,Positive,Neutral
178,539593.jpg,"The image features a stylized donkey in red and blue, encouraging viewers to support Democrats in the upcoming election on November 4th.",RT @ KennettDems : RT if you are voting for Democrats on November 4th ! # GOTV,# GOTV,Positive,Neutral
179,477288.jpg,"A map highlights Nassau and Suffolk counties in green under a flash flood warning, indicating potential severe weather conditions.",Flash Flood Warning for Suffolk and Nassau again . This will be in effect through 8 : 15pm . @ PIX11News,Flash Flood Warning,Neutral,Negative
180,477288.jpg,"A map highlights Nassau and Suffolk counties in green under a flash flood warning, indicating potential severe weather conditions.",Flash Flood Warning for Suffolk and Nassau again . This will be in effect through 8 : 15pm . @ PIX11News,Suffolk,Neutral,Negative
181,128664.jpg,"A vibrant display of fireworks illuminates the night sky above iconic landmarks, creating a celebratory and patriotic atmosphere.",RT @ BEAUTIFULPlCS : Happy New Year from Washington D . C . ! # NYE # 2015,New Year,Positive,Neutral
182,128664.jpg,"A vibrant display of fireworks illuminates the night sky above iconic landmarks, creating a celebratory and patriotic atmosphere.",RT @ BEAUTIFULPlCS : Happy New Year from Washington D . C . ! # NYE # 2015,# NYE,Positive,Neutral
183,617017.jpg,"A person in a purple blazer speaks passionately indoors, gesturing with one hand, suggesting engagement in a serious discussion or debate.","RT @ thehill : Warren pokes fun at Scott Brown , Sarah Palin :",Scott Brown,Negative,Neutral
184,164471.jpg,"A Twitter exchange shows a user criticizing an athlete's workout routine, to which the athlete responds defensively, highlighting social media follower count and dismissing the critique.",@ ForTheMen : Kaepernick is a savage @ Abyymartell,Kaepernick,Neutral,Negative
185,73236.jpg,"Two children joyfully run towards the camera with wide smiles, set against a backdrop of a large apartment building, conveying a sense of carefree happiness.",RT @ DNAinfoCHI : Photojournalist John H . White ' s epic career celebrated with Roosevelt University exhibit,Roosevelt University,Neutral,Positive
186,5898.jpg,"A group of six energetic individuals in colorful attire are jumping and posing enthusiastically on stage, conveying excitement and anticipation for a world tour event.",RT @ jypnation : 2PM WORLD TOUR GO CRAZY IN JAKARTA 2014 . 12 . 05 ( Fri ) Istora Senayan - Komplek Gelora Bung Karno,2PM WORLD TOUR GO CRAZY,Neutral,Positive
187,1005776.jpg,"A rotating globe with the bold text ""BREAKING NEWS"" suggests an urgent or important announcement.",Amb . Martin Kimani to be Director National Counter Terrorism Centre . Incumbent Isaac Ochieng to serve as envoy of Kenya,Martin Kimani,Neutral,Positive
188,1005776.jpg,"A rotating globe with the bold text ""BREAKING NEWS"" suggests an urgent or important announcement.",Amb . Martin Kimani to be Director National Counter Terrorism Centre . Incumbent Isaac Ochieng to serve as envoy of Kenya,Isaac Ochieng,Neutral,Positive
189,386184.jpg,"A man in a formal outfit gestures emphatically with his hand, appearing focused and intense, possibly in a coaching or instructing context.",RT @ dreamteamfc : How many players will Aston Villa have left by the start of the season ?,Aston Villa,Neutral,Negative
190,1301326.jpg,"A serious-looking man is featured beside bold text indicating 70% of Britons support an Australian-style points-based immigration system, with a call to share and support UKIP policy.",RT @ YIofficial : Retweet if you agree with UKIP policy .,UKIP,Neutral,Positive
191,1406677.jpg,"A serene landscape view captures a lush, expansive valley under a bright, hazy sky, evoking a sense of tranquility and awe.",Beautiful views in the Magaliesberg last week :,Magaliesberg,Positive,Neutral
192,74577.jpg,"A decorative textile features an intricate pattern of pink flowers and green vines, evoking a sense of elegance and natural beauty.",RT @ metmuseum : Feast your eyes on one of Candace Wheeler ' s most luxurious textiles : # WomensHistoryMonth,Candace Wheeler,Positive,Neutral
193,414719.jpg,"The image showcases a modern, luxurious high-rise hotel in Kuala Lumpur with vibrant city lights and a prominent ""Harrods"" sign, suggesting an upscale and prestigious atmosphere.","Harrods Hotel Kuala Lumpur , a 7 - star hotel to open in 2018 - # MyFest2015 # Malaysia # Harrods",Harrods Hotel Kuala Lumpur,Neutral,Positive
194,34108.jpg,"A large group of people, all wearing face masks, pose together in a formal setting with a bride and groom at the center, suggesting a wedding celebration.",RT @ tunkuv : Wedding photo becomes symbol of South Korea MERS scare,MERS,Negative,Neutral
195,72661.jpg,"A football player in navy uniform runs with the ball while another player in white dives to tackle him on a sports field, with a referee observing the action.",Wrong way # Bears : # Patriots Ninkovich takes a fumble for a TD ahead of Jake Long,Ninkovich,Positive,Neutral
196,617873.jpg,"A group of soccer players in red and white jerseys celebrate on the field, embracing and smiling, suggesting a moment of triumph or victory.","RT @ Squawka : FA Cup final : Arsenal vs . Aston Villa , Saturday 30th May .",Arsenal,Positive,Neutral
197,30136.jpg,"A series of images shows a soccer player in various moments of struggle and determination on the field, accompanied by the encouraging text ""DON'T GIVE UP FERNANDO TORRES.""",RT @ KABAR CHELSEA : Fernando Torres . # CB,Fernando Torres,Neutral,Positive
198,422153.jpg,"Thick black smoke billows into the sky from a fire in an industrial area, creating a sense of urgency and concern.",A fire has reportedly broken out at a prison in Florence . -,Florence,Negative,Neutral
199,483163.jpg,"The image depicts the illuminated glass pyramid of the Louvre Museum at night, creating a serene and majestic atmosphere with no visible human interaction.",The Best way to visit the Louvre Museum . # paris,# paris,Positive,Neutral
200,716402.jpg,None,RT @ AnakNonton : # SeputarFilm Bruno Mars is Roberto in RIO 2 movie ! Coming soon !,Roberto,Neutral,Positive
201,716402.jpg,None,RT @ AnakNonton : # SeputarFilm Bruno Mars is Roberto in RIO 2 movie ! Coming soon !,RIO 2,Neutral,Positive
202,71741.jpg,"A large group of people gather solemnly at night around a memorial with flowers, as ""RIP DEAN"" is written on the ground, conveying a sense of mourning and remembrance.",RT @ TarHeelPhoto : Students gathering at the Dean E . Smith Center to honor Dean Smith,Dean Smith,Negative,Positive
203,1413646.jpg,"A collage featuring the University of Bologna's emblem, an illustration blending science and art, and a vibrant street scene with historic architecture, evokes a sense of academic tradition and cultural richness.","Visiting Bologna University , where arts amp sciences equally important . Cf . by @ sarahchurchwell",Bologna University,Positive,Neutral
204,33118.jpg,"A man stands at a podium with an expressive, open-mouthed gesture, set against a backdrop of an American flag, suggesting a speech or public address.",RT @ CapX : Trump and Corbyn are a symptom of our shrunken politics - @ rcolvile,Corbyn,Neutral,Negative
205,1357925.jpg,A serene aerial view of a pristine coastline with turquoise waters and lush greenery evokes a sense of tranquility and natural beauty.,RT @ businessinsider : 22 stunning aerial photos of Cuba,Cuba,Neutral,Positive
206,423135.jpg,"A group of smiling individuals in formal attire gather closely around a laptop in an indoor setting, suggesting a celebratory or collaborative event.","Great morning with @ mkfm at Bletchley Park pushing the button for the FM application , fingers crossed !",Bletchley Park,Neutral,Positive
207,568010.jpg,"A large group of smiling children in bright orange shirts and a few adults in blue shirts pose together on steps in front of a historic building, suggesting a cheerful group outing or camp activity.",RT @ ymcacampwidji : The Percy Jackson themed lit camp went on a field trip to the Parthenon !,The Percy Jackson,Positive,Neutral
208,568010.jpg,"A large group of smiling children in bright orange shirts and a few adults in blue shirts pose together on steps in front of a historic building, suggesting a cheerful group outing or camp activity.",RT @ ymcacampwidji : The Percy Jackson themed lit camp went on a field trip to the Parthenon !,Parthenon,Neutral,Positive
209,72867.jpg,"A football player in full gear, number 74, emerges confidently from a tunnel with dramatic lighting and smoke, suggesting anticipation and excitement before a game.","Jermon Bushrod looking all - mighty in the tunnel , but all downhill from there . # Bears photos :",Jermon Bushrod,Positive,Negative
210,72867.jpg,"A football player in full gear, number 74, emerges confidently from a tunnel with dramatic lighting and smoke, suggesting anticipation and excitement before a game.","Jermon Bushrod looking all - mighty in the tunnel , but all downhill from there . # Bears photos :",# Bears,Positive,Neutral
211,1015598.jpg,"A woman stands confidently outdoors, smiling broadly while wearing a red shirt with a humorous message, suggesting a playful or defiant sentiment.",RT @ BuzzFeed : A Kentucky clerk who kept getting confused for Kim Davis made an amazing t - shirt,Kentucky,Neutral,Positive
212,1015598.jpg,"A woman stands confidently outdoors, smiling broadly while wearing a red shirt with a humorous message, suggesting a playful or defiant sentiment.",RT @ BuzzFeed : A Kentucky clerk who kept getting confused for Kim Davis made an amazing t - shirt,Kim Davis,Positive,Neutral
213,1114560.jpg,"Two individuals walk near a blazing fire with thick smoke, creating a tense and urgent atmosphere in a rural setting.",RT @ shaun505 : 4 people dead after plane crashes near Silver City .,Silver City,Negative,Neutral
214,62463.jpg,"A man in a suit stands in a formal indoor setting, gesturing emphatically with a serious expression, suggesting he is speaking or presenting passionately.",RT @ SenTedCruz : What is the Export - Import Bank ? Even then - Senator Obama agrees : Corporate Welfare . # EndExIm,Export - Import Bank,Negative,Neutral
215,46517.jpg,"A fleet of naval ships, led by an aircraft carrier, navigates through open waters, suggesting a coordinated military operation or exercise.",RT @ BBCNewsAsia : Why is the US Navy practising for war with China ? @ wingcommander1 reports,US Navy,Negative,Neutral
216,46517.jpg,"A fleet of naval ships, led by an aircraft carrier, navigates through open waters, suggesting a coordinated military operation or exercise.",RT @ BBCNewsAsia : Why is the US Navy practising for war with China ? @ wingcommander1 reports,China,Negative,Neutral
217,478477.jpg,"A weather map displays severe thunderstorm and tornado warnings with highlighted areas in red and yellow, indicating potential danger.",Tornado Warning for Salem County in Southern NJ until 5pm . @ PIX11News,Southern NJ,Negative,Neutral
218,115614.jpg,"An email notification from reed.co.uk announces job openings at Nando's, MI6, and Soho House, indicating diverse employment opportunities.",RT @ 2Ls1T : Either I need to tweak my profile or Reed need to improve their job recommendation software .,Reed,Negative,Neutral
219,673088.jpg,"A silver HTC smartphone lies on a wooden surface, showcasing a sleek design with a 4G LTE logo.","HTC One Max , Y U so big ? ?",HTC One Max,Neutral,Positive
220,478689.jpg,"A live radar image shows a cluster of intense thunderstorms with red and yellow areas indicating heavy rainfall over Jefferson, suggesting severe weather conditions.",Severe thunderstorm warnings continues for parts of NW NJ - - expect heavy rain and gusty winds . @ PIX11News,NW,Neutral,Negative
221,20276.jpg,"A giant eagle stands dominantly over a miniature football player lying on the ground, evoking a surreal and humorous contrast.",Here you go Dallas fans .,Dallas,Positive,Negative
222,1140731.jpg,"A solemn portrait of a man in formal attire is accompanied by a thought-provoking quote addressing social issues, attributed to Carter G. Woodson.",RT @ PhxKen : AWESOME QUOTE BY CARTER G . WOODSON . . . . WANT OUT OF THE BLACK GHETTO ? ? READ THIS,CARTER,Neutral,Positive
